	AUR-AFEA-TTP1-A-1-0-R-A741-41	AUR-AFEA-TTM4-A-1-1-R-A742-41	AUR-AFEA-TTM2-A-1-1-R-A742-41	AUR-AFEA-TTM1-A-1-1-R-A742-41	AUR-AFEA-TTM3-A-1-1-R-A742-41	AUR-AFEA-TTM6-A-1-0-R-A741-41	AUR-AFE7-TTP2-A-1-1-R-A742-41	AUR-AFE7-TTM2-A-1-1-R-A742-41	AUR-AFE7-TTM1-A-1-1-R-A742-41	AUR-AFE7-TTM3-A-1-1-R-A742-41	AUR-AD9G-TTP1-B-4-0-R-A584-39	AUR-AD9G-TTM2-A-1-1-R-A542-39	AUR-AD9G-TTM3-A-1-1-R-A542-39	AUR-AFE5-TTP1-A-1-0-R-A741-41	AUR-AFE5-TTM4-A-1-1-R-A742-41	AUR-AFE5-TTM9-A-1-1-R-A742-41	AUR-AG0N-TTP1-A-1-0-R-A741-41	AUR-AG0N-TTM1-A-1-1-R-A743-41	AUR-AG0M-TTP1-A-2-0-R-A741-41	AUR-AG0M-TTM1-A-2-1-R-A743-41	AUR-AG0J-TTP1-A-1-0-R-A741-41	AUR-AG0J-TTM1-A-1-0-R-A743-41	AUR-AFSP-TTP1-A-8-0-R-A741-41	AUR-AFSP-TTM1-A-8-0-R-A741-41	AUR-AF9A-TTP1-A-1-0-R-A741-41	AUR-AF9A-TTM1-A-1-1-R-A742-41	AUR-AF98-TTP1-A-1-0-R-A741-41	AUR-AF98-TTM1-A-1-1-R-A742-41	AUR-AF95-TTP1-A-1-0-R-A741-41	AUR-AF95-TTM1-A-1-1-R-A742-41	AUR-AFSL-TTP1-A-8-0-R-A741-41	AUR-AFSL-TTM1-A-8-0-R-A741-41	AUR-AFR5-TTP1-A-1-1-R-A743-41	AUR-AFR5-TTM1-A-1-1-R-A743-41	AUR-AE6Y-TTP1-A-1-0-R-A741-41	AUR-AE6Y-TTM1-A-1-1-R-A742-41	AUR-AE5H-TTP1-A-1-1-R-A742-41	AUR-AE5H-TTM1-A-1-1-R-A742-41	AUR-AFUI-TTP1-A-1-0-R-A743-41	AUR-AFUI-TTM1-A-1-0-R-A743-41	AUR-AER7-TTP1-A-1-0-R-A741-41	AUR-AER7-TTM4-A-1-1-R-A742-41	AUR-AER6-TTP1-A-1-0-R-A741-41	AUR-AER6-TTM2-A-1-1-R-A742-41	AUR-AER6-TTM3-A-1-1-R-A742-41	AUR-AER6-TTM7-A-1-1-R-A742-41	AUR-AER6-TTM9-A-1-1-R-A742-41	AUR-AER6-TTM6-A-1-1-R-A742-41	AUR-AER6-TTM5-A-1-1-R-A742-41	AUR-AER6-TTM1-A-1-1-R-A742-41	AUR-AER6-TTM10-A-1-1-R-A742-41	AUR-AFEC-TTP2-A-1-1-R-A742-41	AUR-AFEC-TTM3-A-1-1-R-A742-41	AUR-AFEC-TTM4-A-1-1-R-A742-41	AUR-AFEC-TTM6-A-1-1-R-A742-41	AUR-AG12-TTP1-A-1-0-R-A741-41	AUR-AG12-TTM1-A-1-1-R-A743-41	AUR-AERX-TTP1-A-1-0-R-A741-41	AUR-AERX-TTM1-A-1-1-R-A742-41	AUR-AERW-TTP1-B-1-0-R-A741-41	AUR-AERW-TTM1-A-1-1-R-A742-41	AUR-AFSO-TTP1-A-8-0-R-A741-41	AUR-AFSO-TTM1-A-8-0-R-A741-41	AUR-AFR3-TTP1-A-2-1-R-A743-41	AUR-AFR3-TTM1-A-1-1-R-A743-41	AUR-AE5G-TTP1-A-1-1-R-A742-41	AUR-AE5G-TTM1-A-1-1-R-A742-41	AUR-AF94-TTP1-A-1-0-R-A741-41	AUR-AF94-TTM1-A-1-1-R-A742-41	AUR-AFE4-TTP1-A-1-0-R-A741-41	AUR-AFE4-TTM1-A-1-1-R-A742-41	AUR-AFE4-TTM6-A-1-1-R-A742-41	AUR-AFE4-TTM5-A-1-1-R-A742-41	AUR-AFUN-TTP1-A-1-0-R-A741-41	AUR-AFUN-TTM1-A-1-0-R-A743-41	AUR-AFUL-TTP1-A-1-1-R-A743-41	AUR-AFUL-TTM1-A-1-1-R-A743-41	AUR-AFKB-TTP1-A-10-0-R-A741-41	AUR-AFKB-TTM1-A-1-1-R-A742-41	AUR-AEPZ-TTP1-A-1-1-R-A742-41	AUR-AEPZ-TTM1-A-1-1-R-A742-41	AUR-AER8-TTP1-A-1-0-R-A741-41	AUR-AER8-TTM2-A-1-1-R-A742-41	AUR-AFKF-TTP1-A-10-0-R-A741-41	AUR-AFKF-TTM1-A-1-1-R-A742-41	AUR-AFUM-TTP1-A-1-0-R-A741-41	AUR-AFUM-TTM1-A-1-1-R-A743-41	AUR-AFE9-TTP1-A-1-0-R-A741-41	AUR-AFE9-TTM1-A-1-1-R-A742-41	AUR-AFE9-TTM4-A-1-1-R-A742-41	AUR-AFE9-TTM2-A-1-1-R-A742-41	AUR-AFE9-TTM3-A-1-1-R-A742-41	AUR-AER2-TTP1-A-1-1-R-A742-41	AUR-AER2-TTM3-A-1-1-R-A742-41	AUR-AER2-TTM1-A-1-1-R-A742-41	AUR-AFE6-TTP1-A-1-0-R-A741-41	AUR-AFE6-TTM2-A-1-1-R-A742-41	AUR-AFE6-TTM1-A-1-1-R-A742-41	AUR-AFR4-TTP1-A-1-1-R-A743-41	AUR-AFR4-TTM1-A-1-1-R-A743-41	AUR-AE6X-TTP1-A-1-0-R-A741-41	AUR-AE6X-TTM1-A-1-1-R-A742-41	AUR-AFKD-TTP1-A-1-1-R-A742-41	AUR-AER4-TTP1-A-1-0-R-A741-41	AUR-AD9J-TTP1-B-4-0-R-A584-39	AUR-AFUO-TTP1-A-1-0-R-A741-41	AUR-AFR2-TTP1-A-1-1-R-A742-41	AUR-AERY-TTM1-A-1-1-R-A742-41	AUR-ADCB-TTM1-A-1-1-R-A742-41	AUR-AD9I-TTM3-A-1-1-R-A542-39	AUR-AD9E-TTM1-A-1-1-R-A542-39	AUR-AFUP-TTM1-A-1-1-R-A743-41	AUR-AFUK-TTM2-A-1-0-R-A743-41	AUR-AD9H-TTM1-A-2-1-R-A542-39	AUR-AD9E-TTM4-A-1-1-R-A542-39	AUR-AD9E-TTM2-A-1-1-R-A542-39	AUR-AFUK-TTM1-A-1-0-R-A743-41	AUR-AD9H-TTM3-A-1-1-R-A542-39	AUR-AD9H-TTM2-A-1-1-R-A542-39	AUR-AD9F-TTM3-A-1-1-R-A542-39	AUR-AD9F-TTM1-A-1-1-R-A542-39	AUR-AD9F-TTM2-A-1-1-R-A542-39	AUR-AFUG-TTM1-A-1-1-R-A743-41	AUR-AFE5-NT1-A-1-1-R-A742-41	AUR-AFE9-NT1-A-1-1-R-A742-41	AUR-AFE6-NT1-A-1-1-R-A742-41	AUR-AFE4-NT1-A-1-1-R-A742-41	AUR-AE5G-NT1-A-1-1-R-A742-41	AUR-AFEC-NT1-A-1-1-R-A742-41
N:GEXP::CDK1:983:	240.9999191	2505.9988	1369.00222	562.00003	781.0009	1481.9963	1018.9999	3145.0051	2197.0047	1622.0032	608.9999	238.00019	494.99983	2183.99975	923.9997	236.9995167	1388.0013	3836.0017	7022.00578	26840.024	1165.00009	4309.0052	220.0002	880	1182.00041	6524.0013	495.9998535	1882.00194	1458.99906	3865.0041	1754.9972	835.99992	753.0003	702.00038	1087.0003	2199.00224	6852.9996	2806.0042	3519.0038	7171.0007	434.00092	38.00006	924.0001	702.9997	1760.9961	1359.9976	555.9999	576.99957	575.00053	532.00012	199.99996	831.0001	1488.99889	4460.00326	2356.9967	681.99984	2052.0037	1160.0002	2852.0024	233	5837.99867	1036.001	2208.00297	9110.99675	8265.005	3546.0042	6920.00509	530.999368	1431.99974	294.00013	462.0006	1090.9998	361.9996294	149.00011	1076.99986	2138.0028	340.0004	155.0001	1956.9983	689.000625	127.99999	79.00002	474.9996	254.9997	3373.0022	163.999819	8738.9971	351.99966	1568.0035	60.99996	200.00011	502.99966	1963.9977	96.00003	705.0002	105.99993	362.99953	1315.00046	448.99972	2934.99894	369.9996	5513.9949	1695.99806	59	150.00021	190.00021	3581.0035	3724.00075	1728.99787	1581.0041	3651.9968	1097.00021	363.0004	30.00001	304.99995	335.9999	2540.996226	563.0003	1231.0004	1135.99954	1923.00363	1289.0009	2513.99798	1	27.99996	178.00007	17.99999	571.00014	174.99991
N:GEXP::CENPA:1058:	91.99994	896.9992	551.99917	135	257.0001	595.79254	196.00944	606.0003	361.04219	371.0001	124.0001	88.99999	215.00036	496.0658	187.99993	67.00003	546.4179	1754.8732	376.26023	488.3222	385.96768	1021.9999	92.0001	229.15975	250.5049	772.13056	110.15061	292.07366	418.62316	952.0004	584.46241	592.8557	411.0008	356.0006	617.05444	1255.000468	889.0001	250.64457	393.0004328	695.9994	76.09739	16.99997	259.4221	171.99999	375.99995	213.99999	285.00021	64.99999	121.99992	80.99998	47.99996	96.99997	172.31128	510	165.00006	110.66479	309.00017	123.27559	162.31478	71.733744	405.35891	154.60681	328.12339	543.99962	338.2187	460.99974	1063.0002	167.21866	281.99979	76.42867	99.00001	277.9997	118.00003	15.00005	67.00002	168.99966	21	33.09007	122.57233	53.00006	12.06048	21.1415	75.99997	45.2392	258	38.3414	1972.0001	26.99999	122.19649	11.0699	6.01306	54.00001	118	17.00001	81.0001	51.99997	83	336.00032	101.99996	748.06776	65.00001	590.9999	2199.02557	31.28945	19.06378	61.00009	370.00035	589.0004	222.9997	246.99956	482.0002	143.00002	23.01462	8	79	121.00005	122.00004	119.99998	207.0002	141.9995	158	120.00004	965.10181	2	4.03449	11.99999	4	61.08985	18.99997
N:GEXP::CENPF:1063:	4605.9974	27253.96033	17005.97767	8764.9971	7652.0009	14752.03514	7328.99656	24607.96169	13406.0223	18167.02739	4043.00539	3462.002167	3533.99832	15605.0058	4891.9992	3872.00122	13073.0032	70950.03298	6482.00773	23781.96366	7828.0017	24663.97544	2596.004	8549.00051	7455.00106	32750.9633	9059.00234	8739.00088	11839.0165	16801.00295	21664.96694	5458.9986	9852.0005	38100.05196	13753.97913	26970.96699	47054.03991	9810.00583	8676.99951	9918.00232	3668.00007	1027.99732	5700.99745	5643.00497	10348.95705	6343.00102	6919.00434	1681.99794	3649.00279	3447.00181	2008	4352.00205	5822.00694	18313.98273	9641.004	3167.00418	9557.00187	5181.99714	11608.97235	1223.00204	6751.00243	8691.0027	7040.00133	27683.02661	17881.0132	18637.01971	34580.9781	4472.99709	9014.00281	2099.00131	3078.00259	14738.01441	3026.0049	1703.99702	3443.99555	6384.00387	1274.99935	1107.99573	14448.982	5425.00083	2472.99823	297.00007	4753.9965	1775	24976.99176	419.00017	76769.96078	2570.005737	5983.99586	318	286.99972	1132.00397	6381.99576	1023.9999	3276.999	977.99969	4714.00387	7420.00001	6803.99598	17403.9864	1511.00273	26685.00011	15480.0396	488.99987	968.00104	1307.99699	9237.99896	21208.96433	8803.0031	8779.0002	16282.01634	10463.01257	777.00021	340.00016	1404.9972	2265.99838	2243.99764	3654.000456	5936.0065	6853.99567	12245	6407.99807	23048.9564	84.00001	270.00053	606	100.99997	2546.00152	336.99976
N:GEXP::CENPN:55839:	215.00006	1179.9416	752.95075	400.48392	320.86902	673.31681	404.26609	1000.2845	633.14611	606.47874	163.50144	269.91237	376.55704	441.31655	337.48275	242.12405	479.1114	1679.480158	511.31922	1194.36405	375.50749	962.03326	63.7964	359.26259	244.86152	786.22141	243.72113	941.98163	1595.9402	3536.73287	716.5623	778.59303	402.81574	539.6762	769.30898	1272.1392	1304.26409	594.05358	1400.7774	3300.7111	214.38012	284.3854	350.56012	247.95201	825.769818	375.89484	497.09084	289.81661	355.72566	517.74945	352.08188	276.91265	349.17225	1726.605	826.793	268.1565	505.66724	334.06455	608.19732	132.50546	1168.58665	249.46976	622.4362	1072.30156	1438.8142	812.98487	2156.9548	197.61633	338.56307	160.27003	548.10843	1443.89909	455.3761	38.00005	378.51736	678.22894	213.32527	78.60911	401.05272	195.26562	87.61186	99.96139	212.10355	54.99998	711.84435	81.15926	3764.2591	92.00008	572.54656	299.66117	210.93667	320.50283	266.52609	56.53214	128.22474	250.7467	228.66668	332.80288	480.22934	1309.4289	244.91432	2556.3367	488.73912	79.66918	68.00014	73.00011237	2022.02916	1430.1353	816.92407	488.10304	465.76843	322.27348	684.32557	9.00001	81.53578	86.52655	813.01675	147.96494	215.77042	641.27932	408.5041	333.94455	830.38166	207.23505	380.14054	177.2721	234.7741	385.73289	99.25683
N:GEXP::CEP55:55165:	279	1667.99546	963.99964	431.0001	497.0005	1098.9965	425.99967	1901.9991	905.99999	1104.99906	526.0001	439.00044	677.9999	1402.9973	337.99968	142.00007	1177.99667	4106.9968	731.00051	1693.9967	842.0002	2673.0009	132.00033	341.00041	322.99964	1148.99874	489.99983	1193.0021	1157.9977	2980.00183	2561.99735	722.0004	1070.9957	1156.99699	1449.00475	3163.9994	5138.0038	1287.00432	2086.00224	4005.0035	313.00048	42.99995	375.99991	216.00031	953.99972	410.00007	277.00013	81.99996	161	188.9998	154.99969	529.9997	694.00055	2294.00226	961.9996	463.00033	1071.99527	530.00006	1163.00295	206.00031	1553.9986	704.9999	904	2241.00506	2004.9982	1888.00091	2475.9961	301.99975	710.00017	135	208.00047	662.00024	237.99955	60.00009	409.9999	833.99974	74	59	345.00046	254.9998	49.99996	41.00001	347.99989	96	2137.00415	51	4296.9963	160.9998	428.00057	31	64	191.99975	608.99988	99.00004	367.0001	100.00001	259.00013	401.0001	391.00021	1199.00009	155.00014	2358.9969	1805.9973	22.00005	125.0003	42.0001	1549.00396	1730.99618	662.99981	1212.99555	2729.99775	449	115.00031	13.00004	173.0005	273.0002	520.0004	274.00045	465.99977	747.99984	1015.0004	589.00025	1414.99832	0	31.99997	29.00001	1	222.00016	41
N:GEXP::CKAP2L:150468:	465.00056	1588.8765	1288.36045	370.70687	443.9077	1238.46843	988.388	1954.12106	1512.9613	1814.42274	614.69215	315.88575	366.73185	1468	773.6167	570.70897	642.99306	1737.60073	503.00007	1407.89001	398.14328	790.93716	135.00055	322.00009	450.00031	1755.5571	313	782.00041	965.2281	1817.1873	758.65228	558.14227	359.00055	475.9997261	1334.42977	1590.86847	2844.85301	1420.13385	934.914	1382.58983	236.49408	28.35134	392.86308	338.93245	891.82255	476.8225	705.41734	178.99999	255.99966	206.99559	91.99995	540.7839	789.24841	1874.00379	1145.734625	333.39493	844.86982	529.75874	1195.86114	287.69037	1125.94742	585.8671	834.70383	1722.82978	1731.45376	1807.95539	2524.70462	284.77426	540.8101	167.00046	175.999533	352.00028	157.6985	66.84403	274.00024	764.00048	56.00003	96.00005	545.00013	174.99974	36.99999	44.00005	425.9194	148.5494	1412.9296	63.00007	2917.83971	257	678.58627	41.999966	37	126.00002	395.00007	44.99997	266.595472	256.00027	321.9407	1012.48541	157.55395	902.72659	253.6834374	1050.7427	820.6707	33	123	191	924.89124	961.15188	478.95412	449.00039	1636.84636	411.99956	77.75668	37.00003	138.57971	218.00052	489.00036	415.61058	771.75579	508.86244	793.73805	435.68371	1973.7528	2	27.00004	22.153659	12.000049	153.0003	30.99998
N:GEXP::COL17A1:1308:	182	33.00004	37.00001	46.99991	45	66.99998	169.00004	24.999969	19.00002	29.99995	124.00004	12.00001	10	789.0003	25.000043	79.00005	101.99998	12.99996	1109.99892	174.99957	995.00058	122.00012	152.9997	2905.00176	118.00007	7.999997	389.99993	23.00001	139.00033	950.00024	152.9999	45.00004	396	10.999962	127.00004	166.99989	3511.996	204.00014	1974.9961	4288.00368	73.00002	8	3825.003998	246.00005	41.00002	385.99954	38.999965	18.99999	35.99999	441.00022	40.00001	56.00006	80.00003	104.99999	74	924.00041	15.00003	353.00017	19.99998	689.00035	3270.00286	263.99982	565.99976	165.0005	33.000034	973.0002	144.0001	50	20.000049	433.0005	37.00003	25.00001	18	66.00001	62.99996	9945.00442	35.99996	175.99983	18.99997	9856.99911	21.00001	509.99988	13	205.0001	116.00021	771.0006	91.999984	36.00001	38.99999	8.000004	39.000038	18.00004	137	229.99988	37.99999	426.99997	17	6.000003	13219.97069	38	250.00008	1832.0029	4	430.0004943	183.99981	42.00003	744.9999	61.99999	106.00001	57.99996	17.999983	40.99999	59.00001	2.000001	15	54.00003	31.00004	6	24.00003	77.9999	22	105.99961	5348.00228	19.000016	42.00001	25.99998	4	12597.98196	7350.99666
N:GEXP::CPB1:1360:	0	3	49	85	73	5.0000024	25.99999019	25	27	2	72.00006	28	5.000002	4.000006	0	61.000024	9.00001	5	3.00001	6.000005	30.0001	2	23	0	22.00004	102.99989	21.99999082	14.00003	6	3	10	2.000000032	0	28	5	1	9.99999	5.999997359	611.00029	1071.00289	14	4	6	7	4.999997	35.00005	2	4.000002	1	7.999999	2.999999984	58.99999976	57	11	0	5.999994	1	47	2	11	24.99999439	26.00002706	28.00004	32.99998	26	45866.04818	11.00000062	6.000002	0	9	23.99995	3.999999	414.00019	5	66.99997	4507.00032	205.00012	10.00001	0	55450.00308	22.00001	22.00005	6.00001	0	484.99986	0	302.00043	3.000001376	7	17.999996	17.999999	96.99999	2	3	99.99997	53.00003	6	74.99999	898.000114	39.99998	13.0000022	5.000003	1	368.0004	50.0001	349.00041	194.9999	47.99998	7	36.00001247	1517.9962	105.00006	29559.98191	35656.01762	80477.96521	580.9997262	696.99969	46.99997	90.00002	1055.0001	13.00000293	5.0000016	842.00005	10	109.00001	14.999997	0	106.99996	96.99997
N:GEXP::CYP2B7P1:1556:	16.000015	20.00001	59	68.00002	82.00003	6.000001	29.00004	19.000008	12.00001	399.0001	42.00002	162.89025	1	4	7.000004	9.00001	9	6.000003	6	20	9	5	44.00007	521.98485	39.99998	17.869696	8	3.999999	7	24.99996	16	5	55.99999	39.00004	8.00001	12	68.99995	6	16	9	15.000005	11	8	7	6	2	26	7	4	2.0000029	19	155.99996	179.00002	284.7035	8	14	6	9	17.00003	46	15	6493.9362	22.99997	4925.9174	16	53.92151	981.9345	298.99997	149.30823	724.0006	7061.9869	63.31672	6417.9545	2486.98529	42.999994	985.986	42.999943	11100.935	8.99999	535.97799	436.00036	15	38.6745	13	8	211.99971	30.99999	1151.9747	324.00041	1629.58476	1408.96952	4892.9502	10.000002	6.00001	78.88108	24.00002	82	33.00005	6	13.00005	16.99998	27.17236	3	111.000047	50.00008	2632.9623	632.00025	7978.1724	131.99997	976.2792	142.99991	7068.913	117.00001	144.00007	60.18129	726.9997	6452.942	5120.857	7034.894	103.99999	229.58433	3	129	23.99999	100.99993	10106.963	712.96137	19	45.00002
N:GEXP::DBNDD2:55861:	472.00049	1283.57626	1664.224	740.6245	568.5071	576.28236	939.1458	3478.00031	1374.0751	1441.0006	227.00047	309.4065	734.000256	565.4914	1560.0007	991.5549	1424.99963	3746.0281	401.459842	1691.0572	453.29851	3016.13108	143.80549	462.99999	696.7487	1639.045	196.8843	878.5349	522.3166	1233.0483	1758.79794	459.6851034	427.73887	118.28856	982.25	2142.4363	1504.40253	515.16863	1318.9483	2953.5107	842.5828	1606.0418	951.0004	1625.9821	2837.4489	2589.3834	814.30616	2507.7754	1832.5339	2015.2014	1515.8299	395.2765	1150.6443	2202.0249	1357.27591	653.30274	312.83213	277	264.02699	228	817.4831	224.00023	618.97612	11256.64	391.9519261	1349.78229	1427.435	1186.9945	2308.2218	371.92469	1070.5355	2752.4237	827.6185	337.00034	2463.8862	4683.3586	2609.9349	598.9996	2681.8981	2133.7654	1551.9234	420.54543	360.66492	280.0001	983.1218	314.4577	1870.14617	526.00011	4114.92	363.0004	736.1916	1763.0096	826.5974	372.1829	541.611	409.8947	278.40473	75.00002	1344.5157	1252.5585	390.257	2886.5375	857.82219	282.04608	260.0003	122.0002	3988.3809	2533.8925	156.38776	2391.6186	3698.1792	3653.29629	8089.6192	129.48006	1033.9998	1005.0695	8695.6669	2709.739	3383.49	558.9911	711.4006	672.84486	3664.3956	5220.893	29542.892	1236.8029	115.69631	1364.5816	1070.09431
N:GEXP::DEGS2:123099:	167.6618	209.20069	341.10383	154.24753	160.2457	212.293	264.91831	450.81579	370.27402	244.628	42.4988	78.9393	54.1527	55.177813	296.17915	551.12335	115.177411	132.13678	149.613	237.4815	413.649	394.6006	197.185	89.79848	303.2567	100.137	95.4988	43.7862	324.296	234.49933	104.161	146.777	386.49738	572.10907	351.68018	239.68406	200.976	155.7463	127.98084	227.4604	134.369762	90.6828	798.0464	4505.3449	2117.8953	3234.5291	1680.5616	1043.68932	1008.76266	2384.0458	4792.805	53.8819	32.58	48.38545	43.38206	108.79233	375.2099	1046.0079	1700.9855	415.4763	602.3884	80.65762	395.648353	295.1448	148.14951	6197.529	3219.829	505.0539	3365.1623	190.4893	532.0101	1504.9107	667.9500003	518.01206	677.6856	4106.504	2499.645	324.05889	6107.936	9538.808	5731.056	313.36902	877.1484	496.8393	16660.288	118.915	13566.081	222.36844	1261.932	286.10235	107.44886	624.1781	801.1745	217.99485	692.134	80.3173	129.018	81.079274	1192.3157	797.0471	222.43931	834.6099	55.52517	957.281	112.941	562.324	4223.041	712.7046	6086.936	3343.469	3949.31618	2758.2659	3648.56164	80.7826	2174.69	764.7142	3839.599	4310.5055	5720.5411	3264.6222	5122.271	3767.325	4935.386	686.469	342.97534	597.94734	71.854	417.9736	120.91027
N:GEXP::DLGAP5:9787:	213.0002	2379.9963	1277.9996	514.00024	617.00063	697.99985	649.00032	2255.00379	1200.9982	1534.0017	319.0002	353.00035	496.00021	814.00076	366.99962	205.00034	699.00053	4162.996	736.00075	4132.9966	371.00058	2217.0006	116.99993	453.0003	726	4125.00147	220.00058	1441.00181	1140.00015	2356.99722	1309.0014	557.00041	557.00034	1667.00005	1876.0041	3516.004	3512.99842	1151.00042	1442.99771	3035.00059	167.99961	48	892.0006	1119.99953	2627.0007	1033.9994	908.00082	434.00023	575.99977	540.9996	289.99969	796.00034	1959.0055	4651.9944	1737.99776	234.00009	631.99985	411.00012	1004.99911	137	1209.0002	384.99998	570.9996	2435.00196	2263.00195	2052.99949	3661.99621	198.00053	547.00026	240.0004	405.00031	942.0002	493.00035	46	589.00031	1007.00039	79.00006	72.99995	561.0001	212.0001	57.000048	50.99998	799.00024	96	1963.99752	42	12724.9953	138.999845	558.99991	40	30.99998484	120.00003	698.99962	99.00009	405.99959	88.99997	390.9996	1792.99596	632.00006	1996.00503	165.0005	2243.99862	1093.00082	36.00001	49	168.0003	1963.0018	1175.00044	753.00013	649.00034	1798.0042	538.99943	102.00011	31.00004	119.0002	215.99961	546.00055	333.00026	531.00031	860.9997	1153.9994	604.0001	1161.9955	0	9.000003	50.99995	12.00004	296.99985	42.00001
N:GEXP::EN1:2019:	985	5201	1907	2298	1885	1913	3450	10765	6704	8967	855.001	885	807	2543	7917	7257	3198	8533	117	302	1119	5169	330	2244.0001	1697	4716	297	395	1164	2501	590	180	3416	4315	6069	7248	8613	4650	146	187	1943	1864	520	532	2560	2363	162	220	227	1919	2212	107	29	0	49	78	61	70	0	12	57	5	6	362	29	34	8	71	115	42	5	0	34	58	4	47	1	12	16	39	0	25	4	48	4	21	590	70	1	0	5	0	66	26	20	157	251	291	207	70	144	423	916	31	89.0001	3	52	20	201	0	30	0	99	2	0	0	13	0	0	7	4	67	288	12	1	0	0	41	110
N:GEXP::ERBB2:2064:	1430.38274	9846.90055	4972.75668	3561.90149	3012.98001	2644.22446	5958.82504	27090.28802	13291.38834	14042.72098	994.43432	5247.95203	2971.92531	2495.00961	11131.40702	11890.2605	3827.92275	18623.41713	2290.41996	6116.59962	2296.470418	12782.26719	2139.15068	964.54022	5291.088	18865.52109	2276.24999	8633.52081	4860.2009	23739.79712	1479.71884	1252.66738	12268.52011	7143.63759	5749.33049	11430.40353	18142.52881	6327.9707	6693.718824	8058.74132	2037.18209	4676.9209	8182.45949	28167.7288	15083.90554	12302.70798	1762.828903	2938.9045	21401.90427	17362.64123	23759.90487	1202.89364	5582.50389	15979.02266	5239.87133	74062.59101	403976.1977	150225.1771	261645.8104	34970.90549	139447.1888	25110.07793	74752.04965	15852.00498	43743.1244	104985.8239	108625.0518	5304.52081	19026.97803	4418.91981	6431.46623	10378.41575	7347.09829	1402.30338	9259.89903	10141.74256	14418.19371	1333.13863	32083.87373	43731.72472	21628.0085	3036.14999	14051.56238	2723.45336	37886.06282	673.86001	12385.5419	1141.96467	4698.86755	1920.97167	2170.9316	4156.82113	2008.00122	894.94864	957.81418	1147.4132	2784.96856	2210.91203	17035.84743	15295.57061	1066.3682	11658.6864	1324.83151	3567.01291	1427.96491	375.45207	8139.72454	526785.013	563957.6268	21193.35388	20891.60633	8764.59865	11276.30995	1251.00113	13409.2392	12327.75731	4213.17152	19107.4673	13855.80162	10156.38624	17024.3934	8963.55334	141044.8325	1601.016292	1260.53215	6037.65233	1863.82045	7862.6309	2104.99746
N:GEXP::ERCC6L:54821:	320	1068.003	768.9996	269.0005	328.0001	672.0005	203	718	490	638	329.0002	165	176	717	719.9998	568	714.0005	2499.999	378.0005	1053.0005	619	1033.9996	247	549	977.0007	1613.0042	688	1157.0048	512	570	709.0005	550	253.0001	256	577.0007	570.9996	1880.9999	452.9997	604.9996	1101.0045	488	40	416	329.0001	590.0004	218	283	186	216	199	111.9996	151	93	223	196.0005	433.9996	743.9999	580	829	291	912	609	993.0003	1320.0012	1648.9973	1285.9956	1945.004	559	972	317	316	835.0001	232	273.0005	372	679.9998	153	429.0006	577.0003	248.9999	406	322	227.0005	180	1067.9952	269	1434.0001	174	441.9996	65	58	140	151	19	170	206	129	153	235	460.0001	315	1164.0012	372.0003	203	162.0001	142	686.0001	1141.9987	622.9999	712.0003	1112.9955	434.0003	120	22	436.0005	223	261.9997	273	378	403	504.9999	406.0002	1335.0003	22	152	168	81	284.9998	46.00001
N:GEXP::ESR1:2099:	1005.00036	409.99982	758.00074	180.00005	256.0002	1200.00023	293.99961	519.00066	493.00044	511.99971	454.99984	1211.99938	230.00005	1017.99992	442.99913	340.99988	784.0009001	118.99999	502.0007632	215.99979	1412.00131	1204.99992	570.00038	286.00005	717.00073	92.99999	889.00128	1162.99914	1379.99924	1144.99934	1001.00031	924.00043	199.000079	111.00008	581.000044	127.000015	710.00093	143.00003	380.9997	517.99995	960.00018	219.0002701	3427.00196	286.9998	601	216.9999	269.00047	264.9996	348.99986	332.99957	334.99962	367.00039	366.00018	872.99984	522.9999	756.99975	52	893.99954	766.9998	742.00077	536.00039	7995.00161	2576.991203	82870.9701	78.00007	7406.00112	37473.00673	17960.00074	149765.1662	10178.01281	46159.99269	221093.0122	34219.96981	6282.00593	73868.0409	22988.01181	52935.01145	42138.06298	24355.99586	75676.01367	46172.05085	4112.00302	1666.00002	1696.0035	1220.99931	1602.00111	1702.00293	15472.9853	42081.9865	4554.00152	674.9999	10052.00668	8537.9995	919	5653.998	2236.00104	157.99995	123.00008	5253.99938	175.00007	2548.00084	672.99932	224.99951	8837.00152	3160.00179	10253.0091	63202.99048	426.0001	119.99995	16313.01809	28723.99858	35263.04599	38955.98995	2284.99964	32876.99173	19008.96809	11432.99912	25915.9927	24554.02808	6131.004555	9272.00014	8407.9988	19143.95373	61	385.99944	583.00027	2195.998907	2614.0042	1736.00019
